Title,Published_date,Views,Likes,Comments
Lahore Qalandars vs Peshawar Zalmi | Pitch Side End of Day Studio Show | Match 33 | HBL PSL 8 | MI2T,2023-03-17T19:17:37Z,11654,269,9
Closer | Lahore Qalandars vs Peshawar Zalmi | Match 33 | HBL PSL 8 | MI2T,2023-03-17T19:02:25Z,12632,260,12
Babar Azam Interview | Lahore Qalandars vs Peshawar Zalmi | Match 33 | HBL PSL 8 | MI2T,2023-03-17T18:28:40Z,29435,1216,95
Sikandar Raza Interview | Lahore Qalandars vs Peshawar Zalmi | Match 33 | HBL PSL 8 | MI2T,2023-03-17T18:25:01Z,13067,494,21
2nd Innings Highlights | Lahore Qalandars vs Peshawar Zalmi | Match 33 | HBL PSL 8 | MI2T,2023-03-17T18:20:42Z,460620,7681,249
Babar Azam Press Conference | HBL PSL 8,2023-03-17T18:14:34Z,77983,3427,241
Skipper 🦅😍#HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-03-17T18:10:48Z,158675,8499,34
Timbeerrrr‼️ #HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-03-17T18:10:46Z,33737,1980,5
"Salman Irshad, yorker king! 🎯Twist in the tale❓ 👀#HBLPSL8 | #SabSitarayHumaray | #LQvPZ",2023-03-17T18:10:44Z,38034,2547,5
Qalandars ka Sikandar 🫡#HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-03-17T18:10:42Z,32194,1633,6
Caught in two minds and perishes! ⚡Tahir falls after a brilliant knock 👏#HBLPSL8 | #LQvPZ,2023-03-17T18:10:40Z,45628,1982,4
Some magic with the bat from Sam Billings ✨#HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-03-17T18:10:37Z,15912,829,2
Mix-up ☝️Peshawar Zalmi overjoyed 🙌#HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-03-17T18:10:35Z,198900,7728,5
Beaten for pace ☄️Instant impact by Wahab Riaz 👊#HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-03-17T18:10:32Z,36202,1395,3
"Ahsan Bhatti on debut, opening his account in style 🔥#HBLPSL8 | #SabSitarayHumaray | #LQvPZ",2023-03-17T18:10:30Z,17091,766,1
Azmatullah Omarzai rattles the stumps 🎯Lahore fans in disbelief 😱#HBLPSL8 | #LQvPZ,2023-03-17T18:10:27Z,24718,1120,5
Uff! Tahir skillfully launches it over the rope 👏#HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-03-17T18:10:25Z,8394,452,1
Sameen Rana Press Conference | HBL PSL 8,2023-03-17T18:05:15Z,18038,851,40
Brilliant Batting By Tahir Baig | Lahore Qalandars vs Peshawar Zalmi | Match 33 | HBL PSL 8 | MI2T,2023-03-17T17:40:00Z,47338,604,21
2nd Innings Powerplay | Lahore Qalandars vs Peshawar Zalmi | Match 33 | HBL PSL 8 | MI2T,2023-03-17T17:00:20Z,90888,936,31
Let's hear from our ball-picker Ubaid as he shares his feelings | HBL PSL 8 | MI2T,2023-03-17T16:46:59Z,13431,637,20
1st Innings Highlights | Lahore Qalandars vs Peshawar Zalmi | Match 33 | HBL PSL 8 | MI2T,2023-03-17T16:21:00Z,518852,7934,145
Those Fauji reflexes 👌Ice-cool Fakhar Zaman 🥶#HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-03-17T16:16:01Z,550202,21652,17
UNBELIEVABLE. SHOT. 😲#HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-03-17T16:15:59Z,63772,2517,15
Dhuzz Dhuzz 💥Haris smokes it out of the park 💪#HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-03-17T16:15:57Z,12890,939,3
Who else but Rashid Khan turning it around 😎#HBLPSL8 | #SabSitarayHumaray | #LQvPZ,2023-03-17T16:15:54Z,27772,1449,2
The boundary that helped Babar overtake Rizwan to become the owner of the Hanif Mohammad cap 🌟,2023-03-17T16:15:52Z,12292,640,0
